actual,proposed
0.0,17.73030662536621
0.0,16.958845138549805
0.0,16.172290802001953
0.0,15.326465606689453
0.0,14.42364501953125
0.0,13.466021537780762
0.0,12.500470161437988
0.0,11.437764167785645
0.0,10.37116813659668
0.0,9.34559440612793
0.0,8.314702987670898
0.0,7.278697967529297
0.0,6.282538890838623
0.0,5.279933929443359
0.0,4.315890312194824
0.0,3.388925790786743
0.0,2.452850103378296
0.0,1.3737231492996216
0.0,0.29134130477905273
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.15171556174755096
0.0,1.3544808626174927
0.0,2.5557496547698975
0.0,3.8003387451171875
0.0,5.131350040435791
0.0,6.500695705413818
0.0,7.906897068023682
0.0,9.348541259765625
0.0,10.779500961303711
0.0,12.155424118041992
0.0,13.52319049835205
0.0,14.883110046386719
0.0,16.235488891601562
0.0,17.580615997314453
0.0,18.918771743774414
0.0,20.25022315979004
0.0,21.575227737426758
0.0,22.804508209228516
0.0,23.986507415771484
0.0,25.167810440063477
0.0,26.393199920654297
0.0,27.660987854003906
184.16587829589844,28.880014419555664
0.0,30.186445236206055
0.0,31.397865295410156
0.0,32.51792907714844
0.0,33.639678955078125
0.0,34.71828079223633
0.0,35.755401611328125
0.0,36.75263214111328
0.0,37.71150588989258
0.0,38.63349914550781
0.0,39.43050765991211
0.0,40.107330322265625
0.0,40.7133674621582
0.0,41.29608917236328
0.0,41.85640335083008
0.0,42.395164489746094
0.0,42.913204193115234
0.0,43.411319732666016
0.0,43.845516204833984
0.0,44.21824645996094
0.0,44.621402740478516
0.0,45.009056091308594
0.0,45.381797790527344
0.0,45.919254302978516
0.0,46.436038970947266
0.0,46.93294906616211
184.16580200195312,47.36598205566406
187.57603454589844,47.9614143371582
0.0,48.578704833984375
0.0,49.082733154296875
0.0,49.52260971069336
0.0,49.90080261230469
0.0,50.3092155456543
0.0,50.74668502807617
0.0,51.16732406616211
0.0,51.52702713012695
0.0,51.828128814697266
0.0,52.162410736083984
0.0,52.4390754699707
0.0,52.660335540771484
0.0,52.873085021972656
0.0,53.07765197753906
0.0,53.1848258972168
0.0,53.24311447143555
0.0,53.25440216064453
0.0,53.22048568725586
0.0,53.1878776550293
0.0,53.06699752807617
0.0,52.86124038696289
0.0,52.61863708496094
0.0,52.340599060058594
0.0,52.11801528930664
0.0,51.81446838378906
0.0,51.47783279418945
0.0,51.10938262939453
0.0,50.71034240722656
0.0,50.3266487121582
0.0,49.91294860839844
0.0,49.13267517089844
0.0,48.809661865234375
0.0,48.49907302856445
0.0,48.15566635131836
0.0,47.8702278137207
0.0,47.64052963256836
0.0,47.4196662902832
0.0,47.207298278808594
0.0,46.95833969116211
0.0,46.674190521240234
0.0,46.400970458984375
0.0,46.13825988769531
0.0,45.84088897705078
0.0,45.554954528808594
0.0,45.28002166748047
0.0,44.97089767456055
0.0,44.58413314819336
0.0,44.167484283447266
0.0,43.7668571472168
0.0,43.33687973022461
0.0,42.87867736816406
